ctgov,time,estimate
NCT00034840,1,0.9959
NCT00034840,2,0.9939
NCT00034840,12,0.9898
NCT00034840,13,0.9878
NCT00034840,16,0.9857
NCT00034840,17,0.9816
NCT00034840,19,0.9796
NCT00034840,26,0.9776
NCT00034840,27,0.9735
NCT00034840,28,0.9714
NCT00034840,33,0.9694
NCT00034840,34,0.9673
NCT00034840,36,0.9653
NCT00034840,37,0.9612
NCT00034840,39,0.9571
NCT00034840,40,0.951
NCT00034840,41,0.9429
NCT00034840,46,0.9429
NCT00034840,47,0.9408
NCT00034840,49,0.9408
NCT00034840,50,0.9387
NCT00034840,52,0.9387
NCT00034840,53,0.9367
NCT00034840,54,0.9367
NCT00034840,55,0.9342
NCT00034840,84,0.9342
NCT00051558,1,0.9977
NCT00051558,26,0.9836
NCT00051558,35,0.965
NCT00051558,53,0.9509
NCT00051558,57,0.9416
NCT00051558,85,0.9299
NCT00051558,113,0.8972
NCT00051558,161,0.8645
NCT00051558,248,0.8271
NCT00051558,297,0.8154
NCT00051558,308,0.8037
NCT00051558,354,0.7921
NCT00051558,391,0.7734
NCT00051558,418,0.75
NCT00051558,520,0.7336
NCT00051558,546,0.7243
NCT00051558,568,0.7056
NCT00051558,608,0.6939
NCT00051558,674,0.6869
NCT00051558,742,0.6565
NCT00051558,819,0.6355
NCT00051558,861,0.6308
NCT00051558,927,0.6098
NCT00051558,972,0.6051
NCT00051558,1001,0.5888
NCT00051558,1069,0.5794
NCT00051558,1080,0.5699
NCT00051558,1162,0.5699
NCT00125918,1,0.9975
NCT00125918,5,0.9901
NCT00125918,16,0.9852
NCT00125918,22,0.9778
NCT00125918,26,0.9753
NCT00125918,27,0.9679
NCT00125918,29,0.958
NCT00125918,35,0.9506
NCT00125918,40,0.9481
NCT00125918,48,0.9383
NCT00125918,53,0.9309
NCT00125918,54,0.9259
NCT00125918,57,0.9185
NCT00125918,69,0.9037
NCT00125918,79,0.8963
NCT00125918,81,0.8914
NCT00125918,82,0.8864
NCT00125918,83,0.8741
NCT00125918,85,0.8667
NCT00125918,101,0.8568
NCT00125918,107,0.8568
NCT00125918,108,0.8542
NCT00125918,110,0.8542
NCT00125918,111,0.8513
NCT00125918,112,0.844
NCT00125918,114,0.844
NCT00125918,115,0.8363
NCT00125918,146,0.8363
NCT00152984,1,0.9936
NCT00152984,13,0.9915
NCT00152984,26,0.9894
NCT00152984,28,0.9873
NCT00152984,32,0.9852
NCT00152984,34,0.9831
NCT00152984,40,0.9809
NCT00152984,43,0.9788
NCT00152984,50,0.9767
NCT00152984,52,0.9725
NCT00152984,54,0.9703
NCT00152984,58,0.9703
NCT00152984,61,0.9682
NCT00152984,70,0.9682
NCT00152984,73,0.9661
NCT00152984,144,0.9661
NCT00153023,1,0.991
NCT00153023,8,0.9876
NCT00153023,16,0.9763
NCT00153023,21,0.9751
NCT00153023,25,0.9695
NCT00153023,29,0.9537
NCT00153023,32,0.9525
NCT00153023,37,0.9379
NCT00153023,41,0.9345
NCT00153023,62,0.922
NCT00153023,66,0.9186
NCT00153023,67,0.9141
NCT00153023,71,0.9096
NCT00153023,81,0.9085
NCT00153023,130,0.8825
NCT00153023,148,0.8757
NCT00153023,175,0.8723
NCT00153023,195,0.8588
NCT00153023,258,0.8418
NCT00153023,263,0.8373
NCT00153023,279,0.8339
NCT00153023,292,0.826
NCT00153023,320,0.8249
NCT00153023,336,0.8169
NCT00153023,358,0.8145
NCT00153023,362,0.8115
NCT00153023,419,0.8115
NCT00153088,4,0.9981
NCT00153088,18,0.9867
NCT00153088,54,0.9734
NCT00153088,60,0.9602
NCT00153088,85,0.9507
NCT00153088,189,0.9298
NCT00153088,196,0.9203
NCT00153088,273,0.907
NCT00153088,309,0.8918
NCT00153088,356,0.8918
NCT00153088,364,0.8859
NCT00153088,385,0.8859
NCT00153088,396,0.8761
NCT00153088,419,0.8761
NCT00153088,420,0.8677
NCT00153088,424,0.8616
NCT00153088,446,0.8616
NCT00153088,449,0.8415
NCT00153088,474,0.8415
NCT00153088,487,0.8209
NCT00153088,534,0.8163
NCT00153088,535,0.8112
NCT00153088,549,0.8061
NCT00153088,565,0.8061
NCT00153088,566,0.8008
NCT00153088,595,0.8008
NCT00153088,598,0.7951
NCT00153088,846,0.7951
NCT00168831,1,0.994
NCT00168831,8,0.9791
NCT00168831,13,0.9633
NCT00168831,14,0.9533
NCT00168831,17,0.9464
NCT00168831,27,0.9325
NCT00168831,32,0.9305
NCT00168831,35,0.9235
NCT00168831,52,0.9086
NCT00168831,55,0.9027
NCT00168831,56,0.8957
NCT00168831,72,0.8808
NCT00168831,80,0.8798
NCT00168831,110,0.862
NCT00168831,112,0.857
NCT00168831,118,0.855
NCT00168831,124,0.8471
NCT00168831,221,0.8004
NCT00168831,225,0.7905
NCT00168831,232,0.7865
NCT00168831,264,0.7756
NCT00168831,287,0.7617
NCT00168831,314,0.7527
NCT00168831,335,0.7516
NCT00168831,341,0.7443
NCT00168831,348,0.7443
NCT00168831,349,0.7349
NCT00168831,443,0.7349
NCT00168844,1,0.9939
NCT00168844,11,0.9817
NCT00168844,12,0.9786
NCT00168844,13,0.9654
NCT00168844,15,0.9573
NCT00168844,18,0.9532
NCT00168844,39,0.94
NCT00168844,47,0.9379
NCT00168844,55,0.9257
NCT00168844,56,0.9186
NCT00168844,60,0.9145
NCT00168844,92,0.9023
NCT00168844,107,0.8922
NCT00168844,112,0.885
NCT00168844,124,0.8779
NCT00168844,129,0.8718
NCT00168844,141,0.8708
NCT00168844,151,0.8647
NCT00168844,160,0.8637
NCT00168844,230,0.8311
NCT00168844,278,0.8159
NCT00168844,282,0.8118
NCT00168844,312,0.8037
NCT00168844,328,0.8037
NCT00168844,336,0.8015
NCT00168844,338,0.7966
NCT00168844,449,0.7966
NCT00168857,1,0.9942
NCT00168857,11,0.9919
NCT00168857,14,0.9802
NCT00168857,31,0.9605
NCT00168857,49,0.9523
NCT00168857,54,0.9465
NCT00168857,55,0.9395
NCT00168857,65,0.9314
NCT00168857,75,0.9302
NCT00168857,88,0.9174
NCT00168857,117,0.9128
NCT00168857,132,0.9035
NCT00168857,152,0.8988
NCT00168857,172,0.886
NCT00168857,190,0.8814
NCT00168857,203,0.8698
NCT00168857,272,0.8488
NCT00168857,276,0.843
NCT00168857,284,0.8419
NCT00168857,289,0.836
NCT00168857,301,0.8326
NCT00168857,338,0.8104
NCT00168857,354,0.808
NCT00168857,362,0.8026
NCT00168857,363,0.8008
NCT00168857,364,0.7932
NCT00168857,433,0.7932
NCT00239421,1,0.9983
NCT00239421,2,0.9967
NCT00239421,5,0.995
NCT00239421,9,0.9917
NCT00239421,12,0.9901
NCT00239421,13,0.9851
NCT00239421,15,0.9818
NCT00239421,20,0.9802
NCT00239421,21,0.9785
NCT00239421,24,0.9769
NCT00239421,26,0.9752
NCT00239421,27,0.9736
NCT00239421,28,0.9736
NCT00239421,29,0.9719
NCT00239421,33,0.9702
NCT00239421,35,0.9669
NCT00239421,36,0.9636
NCT00239421,40,0.9636
NCT00239421,41,0.9584
NCT00239421,70,0.9584
NCT00274014,1,0.999
NCT00274014,11,0.9871
NCT00274014,14,0.9772
NCT00274014,18,0.9712
NCT00274014,39,0.9523
NCT00274014,40,0.9494
NCT00274014,42,0.9275
NCT00274014,44,0.9245
NCT00274014,64,0.9096
NCT00274014,75,0.9067
NCT00274014,83,0.8987
NCT00274014,84,0.8908
NCT00274014,95,0.8818
NCT00274014,124,0.8759
NCT00274014,163,0.858
NCT00274014,173,0.8481
NCT00274014,176,0.8381
NCT00274014,183,0.8302
NCT00274014,198,0.8232
NCT00274014,239,0.8153
NCT00274014,267,0.7835
NCT00274014,299,0.7676
NCT00274014,333,0.7594
NCT00274014,347,0.7491
NCT00274014,348,0.7407
NCT00274014,350,0.7371
NCT00274014,583,0.7371
NCT00274053,1,0.9982
NCT00274053,4,0.9927
NCT00274053,11,0.9873
NCT00274053,21,0.9745
NCT00274053,27,0.9727
NCT00274053,32,0.9655
NCT00274053,40,0.96
NCT00274053,42,0.9545
NCT00274053,47,0.9491
NCT00274053,49,0.9418
NCT00274053,66,0.9327
NCT00274053,67,0.9291
NCT00274053,73,0.9218
NCT00274053,77,0.9073
NCT00274053,88,0.8964
NCT00274053,90,0.8873
NCT00274053,97,0.8818
NCT00274053,100,0.8727
NCT00274053,108,0.8691
NCT00274053,115,0.86
NCT00274053,122,0.8582
NCT00274053,123,0.8545
NCT00274053,180,0.8436
NCT00274053,182,0.8382
NCT00274053,192,0.8272
NCT00274053,235,0.8072
NCT00274053,253,0.8034
NCT00274053,323,0.8034
NCT00274079,1,0.9975
NCT00274079,3,0.9949
NCT00274079,4,0.9873
NCT00274079,6,0.9772
NCT00274079,7,0.9747
NCT00274079,8,0.9696
NCT00274079,12,0.962
NCT00274079,14,0.9519
NCT00274079,17,0.9494
NCT00274079,18,0.9468
NCT00274079,24,0.9443
NCT00274079,29,0.9367
NCT00274079,33,0.9342
NCT00274079,34,0.9316
NCT00274079,37,0.9291
NCT00274079,38,0.9266
NCT00274079,39,0.919
NCT00274079,41,0.9165
NCT00274079,45,0.9063
NCT00274079,50,0.9013
NCT00274079,51,0.8987
NCT00274079,62,0.8937
NCT00274079,63,0.8911
NCT00274079,66,0.8911
NCT00274079,70,0.8832
NCT00274079,76,0.8832
NCT00274079,80,0.8713
NCT00274079,101,0.8713
NCT00274547,1,0.9934
NCT00274547,3,0.9885
NCT00274547,5,0.9781
NCT00274547,11,0.971
NCT00274547,21,0.9508
NCT00274547,27,0.942
NCT00274547,28,0.9371
NCT00274547,31,0.9344
NCT00274547,35,0.9256
NCT00274547,39,0.9196
NCT00274547,47,0.912
NCT00274547,54,0.8983
NCT00274547,62,0.8912
NCT00274547,74,0.8715
NCT00274547,88,0.8595
NCT00274547,91,0.8518
NCT00274547,98,0.8409
NCT00274547,119,0.8245
NCT00274547,122,0.8207
NCT00274547,127,0.819
NCT00274547,129,0.8157
NCT00274547,143,0.8114
NCT00274547,148,0.807
NCT00274547,157,0.8048
NCT00274547,163,0.7993
NCT00274547,173,0.7949
NCT00274547,182,0.7868
NCT00274547,231,0.7868
NCT00274560,1,0.9908
NCT00274560,2,0.9862
NCT00274560,6,0.9832
NCT00274560,8,0.9755
NCT00274560,14,0.9632
NCT00274560,18,0.9602
NCT00274560,21,0.9541
NCT00274560,24,0.9525
NCT00274560,26,0.9479
NCT00274560,38,0.9418
NCT00274560,40,0.9387
NCT00274560,41,0.9326
NCT00274560,46,0.925
NCT00274560,57,0.9219
NCT00274560,63,0.9173
NCT00274560,68,0.9158
NCT00274560,71,0.9127
NCT00274560,72,0.9096
NCT00274560,76,0.9096
NCT00274560,78,0.9081
NCT00274560,81,0.8995
NCT00274560,83,0.8995
NCT00274560,85,0.8916
NCT00274560,87,0.8916
NCT00274560,88,0.8851
NCT00274560,110,0.8851
NCT00274599,1,0.9951
NCT00274599,5,0.9926
NCT00274599,6,0.9889
NCT00274599,10,0.9852
NCT00274599,13,0.9803
NCT00274599,14,0.9766
NCT00274599,16,0.9729
NCT00274599,19,0.9704
NCT00274599,21,0.9655
NCT00274599,24,0.9618
NCT00274599,26,0.9569
NCT00274599,31,0.952
NCT00274599,48,0.9446
NCT00274599,52,0.9409
NCT00274599,54,0.9347
NCT00274599,56,0.9261
NCT00274599,60,0.9224
NCT00274599,61,0.92
NCT00274599,63,0.92
NCT00274599,68,0.9126
NCT00274599,69,0.9101
NCT00274599,70,0.9052
NCT00274599,71,0.9039
NCT00274599,78,0.9002
NCT00274599,81,0.8978
NCT00274599,83,0.8941
NCT00274599,90,0.8916
NCT00274599,138,0.8916
NCT00274612,1,0.9975
NCT00274612,11,0.9913
NCT00274612,13,0.9863
NCT00274612,14,0.9825
NCT00274612,17,0.9788
NCT00274612,19,0.9775
NCT00274612,21,0.9738
NCT00274612,23,0.9725
NCT00274612,24,0.97
NCT00274612,32,0.9663
NCT00274612,34,0.9638
NCT00274612,44,0.9625
NCT00274612,45,0.96
NCT00274612,47,0.9576
NCT00274612,53,0.9551
NCT00274612,55,0.9426
NCT00274612,56,0.9338
NCT00274612,61,0.9276
NCT00274612,64,0.9201
NCT00274612,69,0.9151
NCT00274612,83,0.9063
NCT00274612,85,0.9038
NCT00274612,89,0.9038
NCT00274612,91,0.9012
NCT00274612,93,0.9012
NCT00274612,95,0.8999
NCT00274612,96,0.8971
NCT00274612,131,0.8971
NCT00277264,1,0.9967
NCT00277264,5,0.9858
NCT00277264,6,0.9781
NCT00277264,10,0.9693
NCT00277264,14,0.9485
NCT00277264,30,0.9244
NCT00277264,54,0.9025
NCT00277264,72,0.8927
NCT00277264,75,0.8883
NCT00277264,76,0.8806
NCT00277264,78,0.874
NCT00277264,101,0.862
NCT00277264,113,0.8499
NCT00277264,140,0.839
NCT00277264,146,0.8313
NCT00277264,167,0.8182
NCT00277264,203,0.8083
NCT00277264,211,0.7985
NCT00277264,226,0.7886
NCT00277264,247,0.7798
NCT00277264,270,0.7766
NCT00277264,274,0.7722
NCT00277264,287,0.77
NCT00277264,314,0.77
NCT00277264,322,0.7643
NCT00277264,334,0.763
NCT00277264,335,0.7594
NCT00277264,393,0.7594
NCT00321854,2,0.9981
NCT00321854,27,0.9776
NCT00321854,35,0.9645
NCT00321854,51,0.9533
NCT00321854,61,0.9364
NCT00321854,83,0.9178
NCT00321854,92,0.8972
NCT00321854,101,0.8935
NCT00321854,119,0.8729
NCT00321854,140,0.8673
NCT00321854,160,0.8542
NCT00321854,169,0.8411
NCT00321854,185,0.8336
NCT00321854,197,0.8224
NCT00321854,222,0.8112
NCT00321854,231,0.8019
NCT00321854,246,0.8
NCT00321854,253,0.7888
NCT00321854,294,0.77
NCT00321854,312,0.753
NCT00321854,343,0.7472
NCT00321854,352,0.7384
NCT00321854,364,0.7384
NCT00321854,387,0.729
NCT00321854,412,0.729
NCT00321854,416,0.7235
NCT00321854,500,0.7235
NCT00384930,2,0.9953
NCT00384930,5,0.9934
NCT00384930,6,0.9886
NCT00384930,8,0.9839
NCT00384930,11,0.9801
NCT00384930,13,0.9754
NCT00384930,26,0.964
NCT00384930,27,0.9602
NCT00384930,28,0.9489
NCT00384930,29,0.9413
NCT00384930,32,0.9337
NCT00384930,33,0.929
NCT00384930,35,0.928
NCT00384930,37,0.9223
NCT00384930,47,0.9148
NCT00384930,49,0.911
NCT00384930,53,0.9081
NCT00384930,55,0.9044
NCT00384930,56,0.8968
NCT00384930,57,0.892
NCT00384930,59,0.8883
NCT00384930,63,0.8854
NCT00384930,66,0.8797
NCT00384930,70,0.8759
NCT00384930,71,0.8731
NCT00384930,82,0.8672
NCT00384930,84,0.8616
NCT00384930,192,0.8616
NCT00402233,3,0.9968
NCT00402233,4,0.9904
NCT00402233,11,0.9871
NCT00402233,13,0.9807
NCT00402233,16,0.9743
NCT00402233,17,0.9711
NCT00402233,18,0.9582
NCT00402233,20,0.955
NCT00402233,22,0.9357
NCT00402233,24,0.9325
NCT00402233,25,0.9293
NCT00402233,27,0.926
NCT00402233,28,0.9228
NCT00402233,31,0.9196
NCT00402233,32,0.9164
NCT00402233,34,0.9132
NCT00402233,35,0.9068
NCT00402233,42,0.9035
NCT00402233,45,0.9003
NCT00402233,49,0.8971
NCT00402233,51,0.8939
NCT00402233,62,0.8907
NCT00402233,67,0.8875
NCT00402233,68,0.8842
NCT00402233,70,0.881
NCT00402233,100,0.881
NCT00466167,1,0.9981
NCT00466167,2,0.9961
NCT00466167,3,0.9903
NCT00466167,7,0.9826
NCT00466167,30,0.9632
NCT00466167,35,0.9536
NCT00466167,43,0.9516
NCT00466167,49,0.9439
NCT00466167,55,0.94
NCT00466167,58,0.9304
NCT00466167,68,0.9246
NCT00466167,79,0.9226
NCT00466167,80,0.9188
NCT00466167,112,0.9052
NCT00466167,128,0.9014
NCT00466167,140,0.893
NCT00466167,148,0.893
NCT00466167,155,0.8868
NCT00466167,158,0.8868
NCT00466167,162,0.8803
NCT00466167,179,0.878
NCT00466167,182,0.8733
NCT00466167,195,0.8733
NCT00466167,196,0.8709
NCT00466167,201,0.8684
NCT00466167,230,0.8684
NCT00466167,231,0.8647
NCT00466167,273,0.8647
NCT00472199,1,0.9939
NCT00472199,7,0.9635
NCT00472199,13,0.9574
NCT00472199,20,0.9362
NCT00472199,21,0.924
NCT00472199,24,0.9149
NCT00472199,27,0.8906
NCT00472199,28,0.8663
NCT00472199,32,0.8602
NCT00472199,34,0.848
NCT00472199,40,0.845
NCT00472199,41,0.8298
NCT00472199,47,0.8176
NCT00472199,49,0.8085
NCT00472199,71,0.7933
NCT00472199,72,0.7872
NCT00472199,82,0.7812
NCT00472199,83,0.769
NCT00472199,88,0.7599
NCT00472199,101,0.7508
NCT00472199,104,0.7416
NCT00472199,125,0.7325
NCT00472199,128,0.7234
NCT00472199,158,0.7142
NCT00472199,179,0.7142
NCT00472199,180,0.7105
NCT00472199,209,0.7105
NCT00479401,1,0.9926
NCT00479401,3,0.9814
NCT00479401,6,0.9759
NCT00479401,7,0.9703
NCT00479401,13,0.9666
NCT00479401,14,0.961
NCT00479401,19,0.9555
NCT00479401,27,0.9518
NCT00479401,28,0.9443
NCT00479401,34,0.9388
NCT00479401,35,0.9332
NCT00479401,41,0.9276
NCT00479401,43,0.9221
NCT00479401,66,0.9072
NCT00479401,70,0.9017
NCT00479401,79,0.898
NCT00479401,81,0.8924
NCT00479401,87,0.8868
NCT00479401,90,0.8794
NCT00479401,92,0.8701
NCT00479401,164,0.8367
NCT00479401,194,0.8312
NCT00479401,196,0.8275
NCT00479401,201,0.8256
NCT00479401,229,0.8219
NCT00479401,230,0.8196
NCT00479401,268,0.8196
NCT00525512,1,0.9942
NCT00525512,22,0.9653
NCT00525512,54,0.9538
NCT00525512,62,0.9326
NCT00525512,64,0.9191
NCT00525512,71,0.9133
NCT00525512,73,0.8882
NCT00525512,76,0.8805
NCT00525512,95,0.8748
NCT00525512,121,0.8516
NCT00525512,137,0.8497
NCT00525512,146,0.8401
NCT00525512,218,0.8285
NCT00525512,224,0.815
NCT00525512,234,0.8092
NCT00525512,335,0.7958
NCT00525512,345,0.7823
NCT00525512,435,0.7649
NCT00525512,464,0.7418
NCT00525512,558,0.7303
NCT00525512,565,0.7168
NCT00525512,596,0.7071
NCT00525512,670,0.6994
NCT00525512,677,0.6935
NCT00525512,678,0.6849
NCT00525512,703,0.6849
NCT00525512,707,0.6088
NCT00525512,731,0.6088
NCT00563381,1,0.9962
NCT00563381,4,0.9936
NCT00563381,14,0.9809
NCT00563381,18,0.9776
NCT00563381,21,0.9736
NCT00563381,26,0.9699
NCT00563381,35,0.9596
NCT00563381,48,0.9519
NCT00563381,54,0.947
NCT00563381,63,0.9314
NCT00563381,71,0.9246
NCT00563381,96,0.9142
NCT00563381,110,0.9098
NCT00563381,118,0.9048
NCT00563381,121,0.9003
NCT00563381,126,0.8956
NCT00563381,137,0.8903
NCT00563381,142,0.8895
NCT00563381,156,0.8837
NCT00563381,172,0.8809
NCT00563381,202,0.8725
NCT00563381,218,0.8654
NCT00563381,234,0.8621
NCT00563381,245,0.8546
NCT00563381,293,0.8428
NCT00563381,320,0.8401
NCT00563381,358,0.8329
NCT00563381,412,0.8329
NCT00601250,1,0.9971
NCT00601250,13,0.9929
NCT00601250,15,0.99
NCT00601250,19,0.9871
NCT00601250,27,0.9786
NCT00601250,40,0.9771
NCT00601250,46,0.9729
NCT00601250,49,0.9686
NCT00601250,59,0.9657
NCT00601250,62,0.9629
NCT00601250,69,0.96
NCT00601250,84,0.9586
NCT00601250,96,0.9486
NCT00601250,126,0.9443
NCT00601250,127,0.9429
NCT00601250,137,0.94
NCT00601250,150,0.9386
NCT00601250,153,0.9343
NCT00601250,164,0.9328
NCT00601250,165,0.9314
NCT00601250,166,0.9314
NCT00601250,167,0.9284
NCT00601250,173,0.9284
NCT00601250,174,0.9245
NCT00601250,207,0.9245
NCT00602472,2,0.9991
NCT00602472,11,0.9934
NCT00602472,21,0.9905
NCT00602472,30,0.9829
NCT00602472,39,0.982
NCT00602472,40,0.981
NCT00602472,41,0.9782
NCT00602472,62,0.9725
NCT00602472,68,0.9697
NCT00602472,82,0.9668
NCT00602472,85,0.9621
NCT00602472,95,0.9564
NCT00602472,98,0.9526
NCT00602472,100,0.9517
NCT00602472,110,0.9488
NCT00602472,123,0.9479
NCT00602472,126,0.9441
NCT00602472,131,0.9412
NCT00602472,133,0.9384
NCT00602472,145,0.9336
NCT00602472,163,0.9327
NCT00602472,168,0.9287
NCT00602472,173,0.9287
NCT00602472,175,0.9215
NCT00602472,213,0.9215
NCT00622284,1,0.9987
NCT00622284,12,0.9877
NCT00622284,25,0.9832
NCT00622284,28,0.9768
NCT00622284,33,0.9749
NCT00622284,40,0.9652
NCT00622284,59,0.9555
NCT00622284,83,0.9342
NCT00622284,113,0.9233
NCT00622284,122,0.911
NCT00622284,188,0.8988
NCT00622284,213,0.8878
NCT00622284,270,0.8788
NCT00622284,302,0.8614
NCT00622284,307,0.8562
NCT00622284,363,0.8433
NCT00622284,379,0.8349
NCT00622284,427,0.8272
NCT00622284,477,0.8137
NCT00622284,543,0.8098
NCT00622284,561,0.8027
NCT00622284,632,0.793
NCT00622284,650,0.7859
NCT00622284,653,0.7814
NCT00622284,672,0.7756
NCT00622284,718,0.7698
NCT00622284,803,0.7698
NCT00641043,1,0.9949
NCT00641043,4,0.9923
NCT00641043,6,0.9897
NCT00641043,9,0.9846
NCT00641043,11,0.9794
NCT00641043,32,0.9743
NCT00641043,46,0.9692
NCT00641043,50,0.9589
NCT00641043,53,0.9563
NCT00641043,60,0.9537
NCT00641043,61,0.9512
NCT00641043,64,0.9486
NCT00641043,72,0.946
NCT00641043,84,0.9434
NCT00641043,87,0.9409
NCT00641043,98,0.9383
NCT00641043,104,0.9357
NCT00641043,126,0.9332
NCT00641043,132,0.9306
NCT00641043,134,0.928
NCT00641043,139,0.9254
NCT00641043,164,0.9254
NCT00641043,165,0.9228
NCT00641043,166,0.9228
NCT00641043,167,0.9172
NCT00641043,168,0.9172
NCT00641043,169,0.9106
NCT00641043,194,0.9106
NCT00654381,192,0.9981
NCT00654381,193,0.9962
NCT00654381,203,0.9943
NCT00654381,221,0.9924
NCT00654381,224,0.9866
NCT00654381,236,0.9847
NCT00654381,240,0.9828
NCT00654381,247,0.9809
NCT00654381,248,0.979
NCT00654381,251,0.9771
NCT00654381,252,0.9713
NCT00654381,253,0.9694
NCT00654381,257,0.9675
NCT00654381,258,0.9656
NCT00654381,260,0.9637
NCT00654381,277,0.9618
NCT00654381,279,0.9598
NCT00654381,286,0.9579
NCT00654381,292,0.9541
NCT00654381,298,0.9522
NCT00654381,302,0.9484
NCT00654381,310,0.9465
NCT00654381,345,0.9446
NCT00654381,370,0.9446
NCT00734474,2,0.9991
NCT00734474,13,0.9918
NCT00734474,14,0.9781
NCT00734474,15,0.9745
NCT00734474,29,0.9563
NCT00734474,50,0.9426
NCT00734474,63,0.9226
NCT00734474,81,0.9153
NCT00734474,85,0.9071
NCT00734474,117,0.8953
NCT00734474,149,0.8743
NCT00734474,181,0.8652
NCT00734474,184,0.8543
NCT00734474,206,0.8342
NCT00734474,272,0.816
NCT00734474,312,0.7832
NCT00734474,363,0.7696
NCT00734474,373,0.7523
NCT00734474,396,0.7413
NCT00734474,414,0.725
NCT00734474,492,0.6867
NCT00734474,542,0.673
NCT00734474,554,0.6576
NCT00734474,590,0.6384
NCT00734474,631,0.633
NCT00734474,645,0.623
NCT00734474,707,0.6056
NCT00734474,893,0.6046
NCT00740051,4,0.9956
NCT00740051,40,0.9824
NCT00740051,41,0.978
NCT00740051,50,0.9648
NCT00740051,63,0.9515
NCT00740051,76,0.9471
NCT00740051,96,0.9207
NCT00740051,125,0.9119
NCT00740051,127,0.9031
NCT00740051,132,0.8987
NCT00740051,134,0.8899
NCT00740051,139,0.8811
NCT00740051,167,0.8722
NCT00740051,194,0.859
NCT00740051,203,0.8502
NCT00740051,217,0.8458
NCT00740051,218,0.8414
NCT00740051,245,0.8282
NCT00740051,247,0.8238
NCT00740051,285,0.8194
NCT00740051,290,0.815
NCT00740051,292,0.8062
NCT00740051,323,0.7885
NCT00740051,357,0.7885
NCT00740051,358,0.784
NCT00740051,370,0.784
NCT00740051,371,0.7513
NCT00740051,384,0.7513
NCT00772538,1,0.9935
NCT00772538,5,0.9913
NCT00772538,16,0.9804
NCT00772538,26,0.9782
NCT00772538,27,0.9739
NCT00772538,29,0.9695
NCT00772538,56,0.9608
NCT00772538,64,0.9564
NCT00772538,107,0.9477
NCT00772538,116,0.9412
NCT00772538,155,0.939
NCT00772538,169,0.9368
NCT00772538,171,0.9346
NCT00772538,182,0.9325
NCT00772538,204,0.9303
NCT00772538,205,0.9281
NCT00772538,212,0.9259
NCT00772538,270,0.9194
NCT00772538,273,0.915
NCT00772538,282,0.9129
NCT00772538,316,0.9085
NCT00772538,319,0.9041
NCT00772538,321,0.9041
NCT00772538,322,0.9019
NCT00772538,334,0.9019
NCT00772538,335,0.8991
NCT00772538,411,0.8991
NCT00776984,7,0.9978
NCT00776984,27,0.9956
NCT00776984,36,0.9912
NCT00776984,38,0.9868
NCT00776984,57,0.9845
NCT00776984,65,0.9779
NCT00776984,81,0.9735
NCT00776984,93,0.9669
NCT00776984,105,0.9647
NCT00776984,121,0.9558
NCT00776984,148,0.9492
NCT00776984,152,0.9448
NCT00776984,166,0.9404
NCT00776984,168,0.936
NCT00776984,171,0.9338
NCT00776984,178,0.9316
NCT00776984,223,0.9294
NCT00776984,226,0.9205
NCT00776984,231,0.9161
NCT00776984,257,0.9073
NCT00776984,279,0.9051
NCT00776984,280,0.9029
NCT00776984,287,0.8985
NCT00776984,300,0.8962
NCT00776984,311,0.8918
NCT00776984,327,0.8918
NCT00776984,328,0.8874
NCT00776984,433,0.8874
NCT00782210,1,0.9952
NCT00782210,6,0.9872
NCT00782210,11,0.984
NCT00782210,14,0.9712
NCT00782210,18,0.9647
NCT00782210,35,0.9567
NCT00782210,44,0.9375
NCT00782210,81,0.9199
NCT00782210,87,0.9103
NCT00782210,115,0.9038
NCT00782210,126,0.891
NCT00782210,161,0.8814
NCT00782210,167,0.8782
NCT00782210,168,0.8734
NCT00782210,175,0.8718
NCT00782210,177,0.8654
NCT00782210,205,0.8622
NCT00782210,221,0.8558
NCT00782210,231,0.8478
NCT00782210,276,0.8365
NCT00782210,299,0.8253
NCT00782210,328,0.8173
NCT00782210,334,0.8121
NCT00782210,343,0.8121
NCT00782210,344,0.7889
NCT00782210,348,0.7889
NCT00782210,350,0.7473
NCT00782210,390,0.7473
NCT00782509,1,0.9984
NCT00782509,3,0.9969
NCT00782509,7,0.9891
NCT00782509,10,0.986
NCT00782509,11,0.9798
NCT00782509,18,0.972
NCT00782509,28,0.9642
NCT00782509,40,0.9595
NCT00782509,46,0.9517
NCT00782509,53,0.9455
NCT00782509,70,0.9408
NCT00782509,84,0.9346
NCT00782509,97,0.9221
NCT00782509,119,0.9112
NCT00782509,141,0.9065
NCT00782509,156,0.8988
NCT00782509,167,0.8972
NCT00782509,171,0.8941
NCT00782509,176,0.8847
NCT00782509,203,0.8754
NCT00782509,280,0.866
NCT00782509,286,0.8598
NCT00782509,298,0.8551
NCT00782509,334,0.8505
NCT00782509,336,0.8463
NCT00782509,342,0.8463
NCT00782509,343,0.8297
NCT00782509,429,0.8297
NCT00793624,1,0.9956
NCT00793624,16,0.9723
NCT00793624,23,0.9667
NCT00793624,34,0.9634
NCT00793624,41,0.9523
NCT00793624,42,0.9479
NCT00793624,62,0.9224
NCT00793624,67,0.918
NCT00793624,83,0.9146
NCT00793624,84,0.9102
NCT00793624,88,0.9091
NCT00793624,92,0.9024
NCT00793624,99,0.9013
NCT00793624,114,0.8891
NCT00793624,142,0.8792
