ctgov,cause,dist,param1,param2,r
NCT00915772,Lack of Efficacy,lnorm,sdlog,meanlog,0.05624
NCT00915772,Lack of Efficacy,lnorm,sdlog,sdlog,0.02814
NCT00915772,Other/Miscellaneous,exp,rate,rate,0.05556
NCT00915772,Voluntary Withdrawal,llogis,shape,shape,0.05628
NCT00915772,Voluntary Withdrawal,llogis,shape,scale,-0.3041
NCT00915772,Voluntary Withdrawal,llogis,scale,shape,-0.3041
NCT00915772,Voluntary Withdrawal,llogis,scale,scale,1.791
NCT00926289,Adverse Event,gompertz,shape,shape,3.176e-4
NCT00926289,Adverse Event,gompertz,shape,rate,-0.00505
NCT00926289,Adverse Event,gompertz,rate,shape,-0.00505
NCT00926289,Adverse Event,gompertz,rate,rate,0.1303
NCT00926289,Protocol Violation,exp,rate,rate,0.05
NCT00954447,Adverse Event,gompertz,shape,shape,1.277e-6
NCT00954447,Adverse Event,gompertz,shape,rate,-2.116e-4
NCT00954447,Adverse Event,gompertz,rate,shape,-2.116e-4
NCT00954447,Adverse Event,gompertz,rate,rate,0.05632
NCT00954447,Lack of Efficacy,exp,rate,rate,0.05556
NCT00954447,Lost to Follow-up,gompertz,shape,shape,3.958e-6
NCT00954447,Lost to Follow-up,gompertz,shape,rate,-5.218e-4
NCT00954447,Lost to Follow-up,gompertz,rate,shape,-5.218e-4
NCT00954447,Lost to Follow-up,gompertz,rate,rate,0.1188
NCT00954447,Other/Miscellaneous,gompertz,shape,shape,1.52e-6
NCT00954447,Other/Miscellaneous,gompertz,shape,rate,-2.919e-4
NCT00954447,Other/Miscellaneous,gompertz,rate,shape,-2.919e-4
NCT00954447,Other/Miscellaneous,gompertz,rate,rate,0.08547
NCT00954447,Voluntary Withdrawal,gompertz,shape,shape,1.318e-6
NCT00954447,Voluntary Withdrawal,gompertz,shape,rate,-2.546e-4
NCT00954447,Voluntary Withdrawal,gompertz,rate,shape,-2.546e-4
NCT00954447,Voluntary Withdrawal,gompertz,rate,rate,0.07482
NCT00970632,Protocol Violation,lnorm,meanlog,meanlog,0.2415
NCT00970632,Protocol Violation,lnorm,meanlog,sdlog,0.09166
NCT00970632,Protocol Violation,lnorm,sdlog,meanlog,0.09166
NCT00970632,Protocol Violation,lnorm,sdlog,sdlog,0.03755
NCT00970632,Voluntary Withdrawal,exp,rate,rate,0.0625
NCT00975195,Adverse Event,gompertz,shape,shape,4.426e-7
NCT00975195,Adverse Event,gompertz,shape,rate,-7.041e-5
NCT00975195,Adverse Event,gompertz,rate,shape,-7.041e-5
NCT00975195,Adverse Event,gompertz,rate,rate,0.01601
NCT00975195,Lack of Efficacy,gompertz,shape,shape,1.041e-5
NCT00975195,Lack of Efficacy,gompertz,shape,rate,-0.001128
NCT00975195,Lack of Efficacy,gompertz,rate,shape,-0.001128
NCT00975195,Lack of Efficacy,gompertz,rate,rate,0.2057
NCT00975195,Lost to Follow-up,exp,rate,rate,0.0625
NCT00975195,Other/Miscellaneous,exp,rate,rate,0.01613
NCT00975195,Protocol Violation,exp,rate,rate,0.02
NCT00975195,Voluntary Withdrawal,gompertz,shape,shape,9.92e-7
NCT00975195,Voluntary Withdrawal,gompertz,shape,rate,-1.242e-4
NCT00975195,Voluntary Withdrawal,gompertz,rate,shape,-1.242e-4
NCT00975195,Voluntary Withdrawal,gompertz,rate,rate,0.02472
NCT00996658,Other/Miscellaneous,lnorm,meanlog,meanlog,0.4501
NCT00996658,Other/Miscellaneous,lnorm,meanlog,sdlog,0.1467
NCT00996658,Other/Miscellaneous,lnorm,sdlog,meanlog,0.1467
NCT00996658,Other/Miscellaneous,lnorm,sdlog,sdlog,0.0526
NCT01064687,Adverse Event,gompertz,shape,shape,7.277e-6
NCT01064687,Adverse Event,gompertz,shape,rate,-5.749e-4
NCT01064687,Adverse Event,gompertz,rate,shape,-5.749e-4
NCT01064687,Adverse Event,gompertz,rate,rate,0.08388
NCT01064687,Lost to Follow-up,llogis,shape,shape,0.03843
NCT01064687,Lost to Follow-up,llogis,shape,scale,-0.07931
NCT01064687,Lost to Follow-up,llogis,scale,shape,-0.07931
NCT01064687,Lost to Follow-up,llogis,scale,scale,0.1771
NCT01064687,Voluntary Withdrawal,exp,rate,rate,0.03448
NCT01075282,Adverse Event,lnorm,meanlog,meanlog,2.112
NCT01075282,Adverse Event,lnorm,meanlog,sdlog,0.2704
NCT01075282,Adverse Event,lnorm,sdlog,meanlog,0.2704
NCT01075282,Adverse Event,lnorm,sdlog,sdlog,0.03657
NCT01075282,Other/Miscellaneous,lnorm,meanlog,meanlog,9.724
NCT01075282,Other/Miscellaneous,lnorm,meanlog,sdlog,0.7733
NCT01075282,Other/Miscellaneous,lnorm,sdlog,meanlog,0.7733
NCT01075282,Other/Miscellaneous,lnorm,sdlog,sdlog,0.06388
NCT01075282,Voluntary Withdrawal,lnorm,meanlog,meanlog,2.252
NCT01075282,Voluntary Withdrawal,lnorm,meanlog,sdlog,0.2546
NCT01075282,Voluntary Withdrawal,lnorm,sdlog,meanlog,0.2546
NCT01075282,Voluntary Withdrawal,lnorm,sdlog,sdlog,0.03064
NCT01084005,Protocol Violation,exp,rate,rate,0.1
NCT01087502,Adverse Event,exp,rate,rate,0.03704
NCT01126437,Adverse Event,llogis,shape,shape,4.96e-4
NCT01126437,Adverse Event,llogis,shape,scale,-0.001417
NCT01126437,Adverse Event,llogis,scale,shape,-0.001417
NCT01126437,Adverse Event,llogis,scale,scale,0.005132
NCT01126437,Lack of Efficacy,gompertz,shape,shape,1.301e-7
NCT01126437,Lack of Efficacy,gompertz,shape,rate,-3.176e-5
NCT01126437,Lack of Efficacy,gompertz,rate,shape,-3.176e-5
NCT01126437,Lack of Efficacy,gompertz,rate,rate,0.01319
NCT01126437,Lost to Follow-up,llogis,shape,shape,0.005502
NCT01126437,Lost to Follow-up,llogis,shape,scale,-0.03567
NCT01126437,Lost to Follow-up,llogis,scale,shape,-0.03567
NCT01126437,Lost to Follow-up,llogis,scale,scale,0.2433
NCT01126437,Other/Miscellaneous,exp,rate,rate,0.001773
NCT01126437,Protocol Violation,weibull,shape,shape,0.005491
NCT01126437,Protocol Violation,weibull,shape,scale,-0.03752
NCT01126437,Protocol Violation,weibull,scale,shape,-0.03752
NCT01126437,Protocol Violation,weibull,scale,scale,0.2696
NCT01126437,Voluntary Withdrawal,lnorm,meanlog,meanlog,0.04312
NCT01126437,Voluntary Withdrawal,lnorm,meanlog,sdlog,0.005455
NCT01126437,Voluntary Withdrawal,lnorm,sdlog,meanlog,0.005455
NCT01126437,Voluntary Withdrawal,lnorm,sdlog,sdlog,7.66e-4
NCT01126580,Adverse Event,gompertz,shape,shape,4.25e-6
NCT01126580,Adverse Event,gompertz,shape,rate,-4.078e-4
NCT01126580,Adverse Event,gompertz,rate,shape,-4.078e-4
NCT01126580,Adverse Event,gompertz,rate,rate,0.06855
NCT01126580,Lost to Follow-up,exp,rate,rate,0.03704
NCT01126580,PI/Sponsor Decision,exp,rate,rate,0.05
NCT01126580,Voluntary Withdrawal,exp,rate,rate,0.025
NCT01159600,Adverse Event,gompertz,shape,shape,1.381e-5
NCT01159600,Adverse Event,gompertz,shape,rate,-8.349e-4
NCT01159600,Adverse Event,gompertz,rate,shape,-8.349e-4
NCT01159600,Adverse Event,gompertz,rate,rate,0.07904
NCT01159600,Lost to Follow-up,lnorm,meanlog,meanlog,0.8875
NCT01159600,Lost to Follow-up,lnorm,meanlog,sdlog,0.2422
NCT01159600,Lost to Follow-up,lnorm,sdlog,meanlog,0.2422
NCT01159600,Lost to Follow-up,lnorm,sdlog,sdlog,0.06804
NCT01159600,Other/Miscellaneous,llogis,shape,shape,0.04653
NCT01159600,Other/Miscellaneous,llogis,shape,scale,-0.2711
NCT01159600,Other/Miscellaneous,llogis,scale,shape,-0.2711
NCT01159600,Other/Miscellaneous,llogis,scale,scale,1.677
NCT01159600,Voluntary Withdrawal,gompertz,shape,shape,2.277e-5
NCT01159600,Voluntary Withdrawal,gompertz,shape,rate,-0.001322
NCT01159600,Voluntary Withdrawal,gompertz,rate,shape,-0.001322
NCT01159600,Voluntary Withdrawal,gompertz,rate,rate,0.1222
NCT01164501,Adverse Event,lnorm,meanlog,meanlog,0.5394
NCT01164501,Adverse Event,lnorm,meanlog,sdlog,0.09414
NCT01164501,Adverse Event,lnorm,sdlog,meanlog,0.09414
NCT01164501,Adverse Event,lnorm,sdlog,sdlog,0.01817
NCT01164501,Other/Miscellaneous,exp,rate,rate,0.07692
NCT01164501,Voluntary Withdrawal,gompertz,shape,shape,4.443e-6
NCT01164501,Voluntary Withdrawal,gompertz,shape,rate,-6.336e-4
NCT01164501,Voluntary Withdrawal,gompertz,rate,shape,-6.336e-4
NCT01164501,Voluntary Withdrawal,gompertz,rate,rate,0.1358
NCT01167881,Adverse Event,gompertz,shape,shape,2.003e-7
NCT01167881,Adverse Event,gompertz,shape,rate,-5.918e-5
NCT01167881,Adverse Event,gompertz,rate,shape,-5.918e-5
NCT01167881,Adverse Event,gompertz,rate,rate,0.03242
NCT01167881,Lost to Follow-up,gompertz,shape,shape,4.609e-7
NCT01167881,Lost to Follow-up,gompertz,shape,rate,-1.43e-4
NCT01167881,Lost to Follow-up,gompertz,rate,shape,-1.43e-4
NCT01167881,Lost to Follow-up,gompertz,rate,rate,0.08142
NCT01167881,Other/Miscellaneous,gompertz,shape,shape,2.26e-7
NCT01167881,Other/Miscellaneous,gompertz,shape,rate,-6.634e-5
NCT01167881,Other/Miscellaneous,gompertz,rate,shape,-6.634e-5
NCT01167881,Other/Miscellaneous,gompertz,rate,rate,0.03614
NCT01167881,Protocol Violation,gompertz,shape,shape,1.577e-6
NCT01167881,Protocol Violation,gompertz,shape,rate,-2.853e-4
NCT01167881,Protocol Violation,gompertz,rate,shape,-2.853e-4
NCT01167881,Protocol Violation,gompertz,rate,rate,0.1016
NCT01167881,Voluntary Withdrawal,gompertz,shape,shape,1.589e-7
NCT01167881,Voluntary Withdrawal,gompertz,shape,rate,-5.948e-5
NCT01167881,Voluntary Withdrawal,gompertz,rate,shape,-5.948e-5
NCT01167881,Voluntary Withdrawal,gompertz,rate,rate,0.03893
NCT01177813,Adverse Event,llogis,shape,shape,0.04858
NCT01177813,Adverse Event,llogis,shape,scale,-0.2703
NCT01177813,Adverse Event,llogis,scale,shape,-0.2703
NCT01177813,Adverse Event,llogis,scale,scale,1.615
NCT01177813,Lost to Follow-up,lnorm,meanlog,meanlog,0.4291
NCT01177813,Lost to Follow-up,lnorm,meanlog,sdlog,0.1173
NCT01177813,Lost to Follow-up,lnorm,sdlog,meanlog,0.1173
NCT01177813,Lost to Follow-up,lnorm,sdlog,sdlog,0.03387
NCT01177813,Other/Miscellaneous,exp,rate,rate,0.08333
NCT01177813,Voluntary Withdrawal,gompertz,shape,shape,1.542e-5
NCT01177813,Voluntary Withdrawal,gompertz,shape,rate,-0.001034
NCT01177813,Voluntary Withdrawal,gompertz,rate,shape,-0.001034
NCT01177813,Voluntary Withdrawal,gompertz,rate,rate,0.1038
NCT01191268,Adverse Event,gompertz,shape,shape,3.579e-6
NCT01191268,Adverse Event,gompertz,shape,rate,-3.32e-4
NCT01191268,Adverse Event,gompertz,rate,shape,-3.32e-4
NCT01191268,Adverse Event,gompertz,rate,rate,0.05463
NCT01191268,Lost to Follow-up,exp,rate,rate,0.05882
NCT01191268,PI/Sponsor Decision,gompertz,shape,shape,4.225e-6
NCT01191268,PI/Sponsor Decision,gompertz,shape,rate,-5.686e-4
NCT01191268,PI/Sponsor Decision,gompertz,rate,shape,-5.686e-4
NCT01191268,PI/Sponsor Decision,gompertz,rate,rate,0.1182
NCT01191268,Voluntary Withdrawal,gompertz,shape,shape,1.493e-6
NCT01191268,Voluntary Withdrawal,gompertz,shape,rate,-2.25e-4
NCT01191268,Voluntary Withdrawal,gompertz,rate,shape,-2.25e-4
NCT01191268,Voluntary Withdrawal,gompertz,rate,rate,0.04978
NCT01191944,Adverse Event,lnorm,meanlog,meanlog,2.197
NCT01191944,Adverse Event,lnorm,meanlog,sdlog,0.2647
NCT01191944,Adverse Event,lnorm,sdlog,meanlog,0.2647
NCT01191944,Adverse Event,lnorm,sdlog,sdlog,0.03471
NCT01194830,Lost to Follow-up,gompertz,shape,shape,4.047e-5
NCT01194830,Lost to Follow-up,gompertz,shape,rate,-0.001948
NCT01194830,Lost to Follow-up,gompertz,rate,shape,-0.001948
NCT01194830,Lost to Follow-up,gompertz,rate,rate,0.1604
NCT01194830,Other/Miscellaneous,gompertz,shape,shape,2.666e-5
NCT01194830,Other/Miscellaneous,gompertz,shape,rate,-0.001534
NCT01194830,Other/Miscellaneous,gompertz,rate,shape,-0.001534
NCT01194830,Other/Miscellaneous,gompertz,rate,rate,0.1408
NCT01204294,Adverse Event,lnorm,meanlog,meanlog,2.487
NCT01204294,Adverse Event,lnorm,meanlog,sdlog,0.3046
NCT01204294,Adverse Event,lnorm,sdlog,meanlog,0.3046
NCT01204294,Adverse Event,lnorm,sdlog,sdlog,0.03984
NCT01210001,Adverse Event,exp,rate,rate,0.09091
NCT01214239,Voluntary Withdrawal,exp,rate,rate,0.08333
NCT01306214,Adverse Event,exp,rate,rate,0.03571
NCT01306214,Protocol Violation,weibull,shape,shape,0.06482
NCT01306214,Protocol Violation,weibull,shape,scale,-0.3841
NCT01306214,Protocol Violation,weibull,scale,shape,-0.3841
NCT01306214,Protocol Violation,weibull,scale,scale,2.456
NCT01306214,Voluntary Withdrawal,exp,rate,rate,0.03846
NCT01335464,Adverse Event,exp,rate,rate,0.01124
NCT01335464,Voluntary Withdrawal,gompertz,shape,shape,6.542e-6
NCT01335464,Voluntary Withdrawal,gompertz,shape,rate,-8.595e-4
NCT01335464,Voluntary Withdrawal,gompertz,rate,shape,-8.595e-4
NCT01335464,Voluntary Withdrawal,gompertz,rate,rate,0.1754
NCT01335477,Adverse Event,exp,rate,rate,0.01031
NCT01335477,Voluntary Withdrawal,gompertz,shape,shape,7.408e-6
NCT01335477,Voluntary Withdrawal,gompertz,shape,rate,-8.031e-4
NCT01335477,Voluntary Withdrawal,gompertz,rate,shape,-8.031e-4
NCT01335477,Voluntary Withdrawal,gompertz,rate,rate,0.1459
NCT01368081,Adverse Event,exp,rate,rate,0.02174
NCT01368081,Other/Miscellaneous,lnorm,meanlog,meanlog,13.19
NCT01368081,Other/Miscellaneous,lnorm,meanlog,sdlog,1.044
NCT01368081,Other/Miscellaneous,lnorm,sdlog,meanlog,1.044
NCT01368081,Other/Miscellaneous,lnorm,sdlog,sdlog,0.08479
NCT01368081,Voluntary Withdrawal,exp,rate,rate,0.0303
NCT01370005,Adverse Event,exp,rate,rate,0.0625
NCT01422876,Adverse Event,llogis,shape,shape,0.01775
NCT01422876,Adverse Event,llogis,shape,scale,-0.07909
NCT01422876,Adverse Event,llogis,scale,shape,-0.07909
NCT01422876,Adverse Event,llogis,scale,scale,0.3902
NCT01422876,Lost to Follow-up,llogis,shape,shape,0.01923
NCT01422876,Lost to Follow-up,llogis,shape,scale,-0.09364
NCT01422876,Lost to Follow-up,llogis,scale,shape,-0.09364
NCT01422876,Lost to Follow-up,llogis,scale,scale,0.502
NCT01422876,Other/Miscellaneous,gompertz,shape,shape,2.42e-6
NCT01422876,Other/Miscellaneous,gompertz,shape,rate,-3.395e-4
NCT01422876,Other/Miscellaneous,gompertz,rate,shape,-3.395e-4
NCT01422876,Other/Miscellaneous,gompertz,rate,rate,0.072
NCT01422876,Protocol Violation,exp,rate,rate,0.08333
NCT01422876,Voluntary Withdrawal,gompertz,shape,shape,3.112e-6
NCT01422876,Voluntary Withdrawal,gompertz,shape,rate,-4.343e-4
NCT01422876,Voluntary Withdrawal,gompertz,rate,shape,-4.343e-4
NCT01422876,Voluntary Withdrawal,gompertz,rate,rate,0.09185
NCT01558271,Adverse Event,lnorm,meanlog,meanlog,0.7067
NCT01558271,Adverse Event,lnorm,meanlog,sdlog,0.2021
NCT01558271,Adverse Event,lnorm,sdlog,meanlog,0.2021
NCT01558271,Adverse Event,lnorm,sdlog,sdlog,0.06108
NCT01558271,Voluntary Withdrawal,lnorm,meanlog,meanlog,2.068
NCT01558271,Voluntary Withdrawal,lnorm,meanlog,sdlog,0.2273
NCT01558271,Voluntary Withdrawal,lnorm,sdlog,meanlog,0.2273
NCT01558271,Voluntary Withdrawal,lnorm,sdlog,sdlog,0.02759
NCT01621178,Adverse Event,exp,rate,rate,0.06667
NCT01621178,Other/Miscellaneous,exp,rate,rate,0.06667
NCT01621178,PI/Sponsor Decision,gompertz,shape,shape,7.263e-6
NCT01621178,PI/Sponsor Decision,gompertz,shape,rate,-9.614e-4
NCT01621178,PI/Sponsor Decision,gompertz,rate,shape,-9.614e-4
NCT01621178,PI/Sponsor Decision,gompertz,rate,rate,0.1987
NCT01621178,Voluntary Withdrawal,lnorm,meanlog,meanlog,0.6865
NCT01621178,Voluntary Withdrawal,lnorm,meanlog,sdlog,0.09997
NCT01621178,Voluntary Withdrawal,lnorm,sdlog,meanlog,0.09997
NCT01621178,Voluntary Withdrawal,lnorm,sdlog,sdlog,0.01667
NCT01624259,Adverse Event,exp,rate,rate,0.05556
NCT01624259,Voluntary Withdrawal,exp,rate,rate,0.09091
NCT01694771,Adverse Event,exp,rate,rate,0.02941
NCT01694771,Other/Miscellaneous,exp,rate,rate,0.09091
NCT01694771,Protocol Violation,exp,rate,rate,0.08333
NCT01694771,Voluntary Withdrawal,exp,rate,rate,0.06667
NCT01708902,Adverse Event,gompertz,shape,shape,2.227e-5
NCT01708902,Adverse Event,gompertz,shape,rate,-0.001161
NCT01708902,Adverse Event,gompertz,rate,shape,-0.001161
NCT01708902,Adverse Event,gompertz,rate,rate,0.1005
NCT01708902,Voluntary Withdrawal,gompertz,shape,shape,2.608e-5
NCT01708902,Voluntary Withdrawal,gompertz,shape,rate,-0.001381
NCT01708902,Voluntary Withdrawal,gompertz,rate,shape,-0.001381
NCT01708902,Voluntary Withdrawal,gompertz,rate,rate,0.1207
NCT01719003,Adverse Event,lnorm,meanlog,meanlog,1.547
NCT01719003,Adverse Event,lnorm,meanlog,sdlog,0.181
NCT01719003,Adverse Event,lnorm,sdlog,meanlog,0.181
NCT01719003,Adverse Event,lnorm,sdlog,sdlog,0.02235
NCT01719003,Lost to Follow-up,lnorm,meanlog,meanlog,6.799
NCT01719003,Lost to Follow-up,lnorm,meanlog,sdlog,0.4698
NCT01719003,Lost to Follow-up,lnorm,sdlog,meanlog,0.4698
NCT01719003,Lost to Follow-up,lnorm,sdlog,sdlog,0.03383
NCT01719003,Other/Miscellaneous,exp,rate,rate,0.07692
NCT01719003,Protocol Violation,exp,rate,rate,0.1
NCT01719003,Voluntary Withdrawal,lnorm,meanlog,meanlog,1.134
NCT01719003,Voluntary Withdrawal,lnorm,meanlog,sdlog,0.1523
NCT01719003,Voluntary Withdrawal,lnorm,sdlog,meanlog,0.1523
NCT01719003,Voluntary Withdrawal,lnorm,sdlog,sdlog,0.02161
NCT01769378,Adverse Event,gompertz,shape,shape,6.548e-5
NCT01769378,Adverse Event,gompertz,shape,rate,-0.002973
NCT01769378,Adverse Event,gompertz,rate,shape,-0.002973
NCT01769378,Adverse Event,gompertz,rate,rate,0.235
NCT01769378,Voluntary Withdrawal,exp,rate,rate,0.1
NCT02152371,Voluntary Withdrawal,exp,rate,rate,0.1
NCT02172287,Adverse Event,lnorm,meanlog,meanlog,0.1899
NCT02172287,Adverse Event,lnorm,meanlog,sdlog,0.03707
NCT02172287,Adverse Event,lnorm,sdlog,meanlog,0.03707
NCT02172287,Adverse Event,lnorm,sdlog,sdlog,0.009116
NCT02172287,Voluntary Withdrawal,lnorm,meanlog,meanlog,2.937
NCT02172287,Voluntary Withdrawal,lnorm,meanlog,sdlog,0.3043
NCT02172287,Voluntary Withdrawal,lnorm,sdlog,meanlog,0.3043
NCT02172287,Voluntary Withdrawal,lnorm,sdlog,sdlog,0.03385
NCT02172586,Voluntary Withdrawal,gompertz,shape,shape,3.262e-5
NCT02172586,Voluntary Withdrawal,gompertz,shape,rate,-0.00205
NCT02172586,Voluntary Withdrawal,gompertz,rate,shape,-0.00205
NCT02172586,Voluntary Withdrawal,gompertz,rate,rate,0.2003
NCT02175355,Adverse Event,lnorm,meanlog,meanlog,1.024
NCT02175355,Adverse Event,lnorm,meanlog,sdlog,0.1942
NCT02175355,Adverse Event,lnorm,sdlog,meanlog,0.1942
NCT02175355,Adverse Event,lnorm,sdlog,sdlog,0.03848
NCT02175355,Protocol Violation,lnorm,meanlog,meanlog,0.1707
NCT02175355,Protocol Violation,lnorm,meanlog,sdlog,0.06859
NCT02175355,Protocol Violation,lnorm,sdlog,meanlog,0.06859
NCT02175355,Protocol Violation,lnorm,sdlog,sdlog,0.0291
NCT02177344,Adverse Event,gompertz,shape,shape,2.64e-5
NCT02177344,Adverse Event,gompertz,shape,rate,-0.001037
NCT02177344,Adverse Event,gompertz,rate,shape,-0.001037
NCT02177344,Adverse Event,gompertz,rate,rate,0.07404
NCT02177344,Other/Miscellaneous,gompertz,shape,shape,4.076e-5
NCT02177344,Other/Miscellaneous,gompertz,shape,rate,-0.001469
NCT02177344,Other/Miscellaneous,gompertz,rate,shape,-0.001469
NCT02177344,Other/Miscellaneous,gompertz,rate,rate,0.09841
NCT02177344,Voluntary Withdrawal,gompertz,shape,shape,6.625e-5
NCT02177344,Voluntary Withdrawal,gompertz,shape,rate,-0.001932
NCT02177344,Voluntary Withdrawal,gompertz,rate,shape,-0.001932
NCT02177344,Voluntary Withdrawal,gompertz,rate,rate,0.109
NCT02177396,Adverse Event,gompertz,shape,shape,3.61e-4
NCT02177396,Adverse Event,gompertz,shape,rate,-0.007371
NCT02177396,Adverse Event,gompertz,rate,shape,-0.007371
NCT02177396,Adverse Event,gompertz,rate,rate,0.2338
NCT02177396,Lack of Efficacy,exp,rate,rate,0.1
NCT02177461,Adverse Event,gompertz,shape,shape,2.895e-5
NCT02177461,Adverse Event,gompertz,shape,rate,-0.001772
NCT02177461,Adverse Event,gompertz,rate,shape,-0.001772
NCT02177461,Adverse Event,gompertz,rate,rate,0.1709
NCT02177461,Lack of Efficacy,lnorm,meanlog,meanlog,0.07475
NCT02177461,Lack of Efficacy,lnorm,meanlog,sdlog,0.03836
NCT02177461,Lack of Efficacy,lnorm,sdlog,meanlog,0.03836
NCT02177461,Lack of Efficacy,lnorm,sdlog,sdlog,0.02318
NCT02177461,Protocol Violation,gompertz,shape,shape,4.057e-5
NCT02177461,Protocol Violation,gompertz,shape,rate,-0.002354
NCT02177461,Protocol Violation,gompertz,rate,shape,-0.002354
NCT02177461,Protocol Violation,gompertz,rate,rate,0.2199
NCT02177461,Voluntary Withdrawal,gompertz,shape,shape,1.109e-5
NCT02177461,Voluntary Withdrawal,gompertz,shape,rate,-7.144e-4
NCT02177461,Voluntary Withdrawal,gompertz,rate,shape,-7.144e-4
NCT02177461,Voluntary Withdrawal,gompertz,rate,rate,0.07103
NCT02183064,Adverse Event,gompertz,shape,shape,1.639e-5
NCT02183064,Adverse Event,gompertz,shape,rate,-7.267e-4
NCT02183064,Adverse Event,gompertz,rate,shape,-7.267e-4
NCT02183064,Adverse Event,gompertz,rate,rate,0.05785
NCT02183064,Other/Miscellaneous,gompertz,shape,shape,2.333e-5
NCT02183064,Other/Miscellaneous,gompertz,shape,rate,-0.001609
NCT02183064,Other/Miscellaneous,gompertz,rate,shape,-0.001609
NCT02183064,Other/Miscellaneous,gompertz,rate,rate,0.1699
NCT02183064,Voluntary Withdrawal,gompertz,shape,shape,1.446e-5
NCT02183064,Voluntary Withdrawal,gompertz,shape,rate,-7.365e-4
NCT02183064,Voluntary Withdrawal,gompertz,rate,shape,-7.365e-4
NCT02183064,Voluntary Withdrawal,gompertz,rate,rate,0.06455
NCT02200653,Adverse Event,exp,rate,rate,0.08333
NCT02240680,Adverse Event,gompertz,shape,shape,1.791e-5
NCT02240680,Adverse Event,gompertz,shape,rate,-0.001454
NCT02240680,Adverse Event,gompertz,rate,shape,-0.001454
NCT02240680,Adverse Event,gompertz,rate,rate,0.2013
NCT02489968,Adverse Event,gompertz,shape,shape,7.911e-6
NCT02489968,Adverse Event,gompertz,shape,rate,-8.457e-4
NCT02489968,Adverse Event,gompertz,rate,shape,-8.457e-4
NCT02489968,Adverse Event,gompertz,rate,rate,0.1492
NCT02750410,Adverse Event,exp,rate,rate,0.08333
